ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
4457,8,16,67,Low,2.58
4458,8,15,22,Low,NA
4459,8,15,7,Low,NA
4460,8,16,34,Low,NA
4461,8,16,31,Low,NA
4462,8,16,40,Low,NA
4463,8,15,3,Low,NA
4464,8,15,27,Low,NA
4465,8,16,NA,Moderate,NA
4466,17,18,16,Low,1.11
4467,17,18,21,Low,0.88
4468,17,17,22,Low,NA
4469,17,17,31,Low,NA
4470,17,18,74,Low,NA
4471,17,18,2,Low,NA
4472,17,19,30,Low,NA
4473,17,15,15,Low,NA
4474,17,14,10,Low,NA
4475,17,12,9,Low,NA
4476,4,14,1,Low,0.88
4477,4,16,73,Low,0.9
4478,4,15,5,Low,NA
4479,4,15,NA,Low,NA
4480,4,15,39,Low,NA
4481,4,16,13,Low,NA
4482,4,19,41,Low,NA
4483,4,9,20,Low,NA
4484,4,8,10,Low,NA
4485,4,9,6,Low,NA
4486,14,18,NA,Low,2.12
4487,14,18,NA,Low,1.18
4488,14,17,8,Low,NA
4489,14,14,6,Low,NA
4490,14,15,31,Low,NA
4491,14,18,35,Moderate,NA
4492,14,18,21,Low,NA
4493,14,11,NA,Low,NA
4494,14,11,10,Low,NA
4495,14,12,16,Low,NA
4496,15,18,11,Low,2.29
4497,15,18,68,Low,1.28
4498,15,19,51,Low,NA
4499,15,18,3,Low,NA
4500,15,19,43,Low,NA
4501,15,20,8,Low,NA
4502,13,20,6,Low,NA
4503,13,16,29,Low,NA
4504,13,16,15,Low,NA
4505,13,9,10,Low,NA
4506,11,19,104,NA,1.87
4507,11,16,46,NA,2.24
4508,11,17,12,Low,NA
4509,11,19,NA,Low,NA
4510,11,19,29,Low,NA
4511,11,19,61,Low,NA
4512,5,15,31,Moderate,NA
4513,5,11,8,Moderate,NA
4514,5,11,13,Moderate,NA
4515,5,12,7,Moderate,NA
4516,21,17,1,Low,3.49
4517,21,17,26,Low,1.14
4518,21,15,10,Low,NA
4519,21,16,8,Low,NA
4520,21,17,58,Low,NA
4521,21,17,71,Low,NA
4522,21,19,39,Low,NA
4523,21,14,3,Low,NA
4524,21,14,9,Low,NA
4525,21,15,10,Low,NA
4526,21,NA,NA,None,NA
4527,21,14,60,High,4
4528,21,NA,NA,None,NA
4529,21,NA,NA,None,NA
4530,21,NA,NA,None,NA
4531,21,NA,NA,None,NA
4532,21,NA,NA,None,NA
4533,21,14,1,High,NA
4534,21,14,1,High,NA
4535,21,17,NA,High,NA
4536,18,NA,NA,None,NA
4537,18,15,22,Moderate,2.1
4538,18,17,28,Low,NA
4539,18,17,11,Moderate,NA
4540,18,17,40,Low,NA
4541,18,18,8,Low,NA
4542,18,18,22,Low,NA
4543,18,18,NA,Moderate,NA
4544,18,18,12,Moderate,NA
4545,18,17,10,Moderate,NA
4546,18,17,NA,Low,5.26
4547,18,17,NA,Low,3.74
4548,18,15,NA,Moderate,NA
4549,18,15,NA,Moderate,NA
4550,18,16,12,Moderate,NA
4551,18,17,33,Moderate,NA
4552,21,17,33,Moderate,NA
4553,21,18,10,Moderate,NA
4554,21,18,25,Moderate,NA
4555,21,18,33,Moderate,NA
4556,11,18,NA,Low,1.7
4557,11,22,39,Low,2.42
4558,11,17,32,Low,NA
4559,11,16,14,Low,NA
4560,11,16,30,Low,NA
4561,11,18,6,Low,NA
4562,11,18,27,Low,NA
4563,11,19,15,Low,NA
4564,11,19,10,Low,NA
4565,11,17,15,Low,NA
4566,13,16,3,Low,1.46
4567,13,18,53,Low,1.92
4568,13,15,28,Low,NA
4569,13,15,11,Low,NA
4570,13,15,22,Low,NA
4571,13,16,19,Low,NA
4572,13,16,30,Low,NA
4573,13,16,NA,Low,NA
4574,13,16,4,Low,NA
4575,13,13,30,Low,NA
4576,35,19,46,Low,1.39
4577,35,19,21,Low,1.31
4578,35,17,2,Low,NA
4579,35,15,NA,Low,NA
4580,35,18,27,Low,NA
4581,35,17,32,Low,NA
4582,35,18,32,Low,NA
4583,35,16,5,Low,NA
4584,35,16,31,Low,NA
4585,35,16,NA,Low,NA
4586,11,16,NA,Low,0.93
4587,11,16,NA,Low,1.61
4588,11,16,3,Low,NA
4589,11,17,NA,Low,NA
4590,11,18,31,Low,NA
4591,11,18,51,Low,NA
4592,11,20,10,Low,NA
4593,11,12,16,Low,NA
4594,11,12,20,Low,NA
4595,11,11,5,Low,NA
4596,11,20,31,Low,NA
4597,11,16,8,Low,NA
4598,11,16,25,Low,NA
4599,11,16,17,Low,NA
4600,17,16,6,Low,2.46
4601,17,18,18,Low,NA
4602,17,19,61,Low,NA
4603,17,19,23,Low,NA
4604,17,20,39,Low,NA
4605,17,21,19,Low,NA
4606,17,21,52,Low,NA
4607,17,16,3,Low,NA
4608,17,17,10,Low,NA
4609,17,15,9,Low,NA
4610,9,17,NA,Low,7.92
4611,9,17,11,Low,1.27
4612,9,17,49,Low,NA
4613,9,17,11,Low,NA
4614,9,18,32,Low,NA
4615,9,18,6,Low,NA
4616,9,19,17,Low,NA
4617,9,6,20,Low,NA
4618,9,17,NA,Low,NA
4619,9,16,15,Low,NA
4620,13,20,NA,NA,2.4
4621,13,21,14,NA,1.39
4622,13,18,22,Low,NA
4623,13,17,4,Low,NA
4624,13,17,29,Low,NA
4625,13,19,NA,Low,NA
4626,18,13,19,Low,2.13
4627,18,15,46,Low,2.82
4628,18,14,33,Moderate,NA
4629,18,14,4,Low,NA
4630,18,15,30,Low,NA
4631,18,14,41,Low,NA
4632,18,16,30,Low,NA
4633,18,12,15,Low,NA
4634,18,12,6,Low,NA
4635,18,14,13,Low,NA
4636,11,17,17,Low,3.97
4637,11,20,64,Low,2.24
4638,11,15,25,Low,NA
4639,11,17,10,Low,NA
4640,11,17,13,Low,NA
4641,11,18,22,Low,NA
4642,11,17,29,Low,NA
4643,11,17,15,Low,NA
4644,11,17,70,Low,NA
4645,11,17,NA,Low,NA
4646,13,16,26,Low,1.38
4647,13,19,41,Low,1.62
4648,13,17,4,Low,NA
4649,13,17,11,Low,NA
4650,13,16,16,Low,NA
4651,13,18,2,Low,NA
4652,13,19,30,Low,NA
4653,13,16,9,Low,NA
4654,13,16,26,Low,NA
4655,13,17,NA,Low,NA
4656,13,19,16,Low,NA
4657,13,20,5,Low,NA
4658,13,20,26,Low,NA
4659,13,18,NA,Low,NA
4660,13,20,1,Low,3.32
4661,13,23,23,Low,1.24
4662,13,26,43,Low,NA
4663,13,26,3,Low,NA
4664,13,26,31,Low,NA
4665,13,26,12,Low,NA
4666,13,26,67,Low,NA
4667,13,15,3,Low,NA
4668,13,15,5,Low,NA
4669,13,18,NA,Low,NA
4670,5,21,21,Low,1.71
4671,5,23,211,Low,5.23
4672,5,20,72,Low,NA
4673,5,20,18,Low,NA
4674,5,21,33,Low,NA
4675,5,21,54,Low,NA
4676,5,22,21,Low,NA
4677,5,22,NA,Low,NA
4678,5,22,NA,Low,NA
4679,5,18,11,Low,NA
4680,20,21,7,Low,7.21
4681,20,21,89,Low,2.28
4682,20,18,18,Low,NA
4683,20,18,25,Low,NA
4684,20,20,41,Low,NA
4685,20,20,13,Low,NA
4686,20,22,9,Low,NA
4687,20,20,NA,Low,NA
4688,20,20,NA,Low,NA
4689,20,17,NA,Low,3.23
4690,13,15,NA,High,5.08
4691,13,16,NA,Low,1.23
4692,13,16,60,High,NA
4693,13,NA,30,High,NA
4694,13,17,66,High,NA
4695,13,14,28,Moderate,NA
4696,13,20,51,Moderate,NA
4697,13,15,2,High,NA
4698,13,15,21,High,NA
4699,13,NA,NA,None,NA
4700,18,20,4,Low,NA
4701,18,20,23,Low,NA
4702,18,16,5,Low,NA
4703,35,16,NA,Low,1.1
4704,35,19,46,Low,1.16
4705,35,13,69,Low,NA
4706,35,14,12,Low,NA
4707,35,15,20,Low,NA
4708,35,17,9,Low,NA
4709,35,20,27,Low,NA
4710,35,19,25,Low,NA
4711,35,19,30,Low,NA
4712,35,16,NA,Low,NA
4713,9,17,9,High,3.94
4714,9,18,31,High,4.2
4715,9,NA,NA,None,NA
4716,9,18,NA,High,NA
4717,9,18,NA,High,NA
4718,9,19,NA,High,NA
4719,9,20,NA,High,NA
4720,9,17,21,Moderate,NA
4721,9,17,7,Moderate,NA
4722,9,19,18,High,NA
4723,13,16,9,Low,4.95
4724,13,17,16,Low,5.46
4725,13,16,33,Low,NA
4726,13,15,4,Low,NA
4727,13,15,42,Low,NA
4728,13,16,8,Low,NA
4729,13,18,NA,Low,NA
4730,13,16,8,Moderate,NA
4731,13,16,14,Moderate,NA
4732,13,17,16,Low,NA
4733,11,18,21,Moderate,2.15
4734,11,19,25,Low,5.24
4735,11,18,12,Moderate,NA
4736,11,19,12,Moderate,NA
4737,11,19,23,Moderate,NA
4738,11,18,13,Moderate,NA
4739,11,NA,NA,None,NA
4740,11,18,12,Low,NA
4741,21,11,3,Low,2.31
4742,21,11,32,Low,2.68
4743,21,10,NA,Low,NA
4744,21,11,15,Low,NA
4745,21,12,13,Low,NA
4746,21,10,28,Low,NA
4747,21,11,62,Moderate,NA
4748,21,10,5,Low,NA
4749,21,10,16,Low,NA
4750,21,14,NA,Low,NA
4751,13,16,65,Low,65.2
4752,13,16,42,Low,47
4753,13,18,21,Low,NA
4754,13,17,7,Low,NA
4755,13,18,17,Low,NA
4756,13,19,31,Low,NA
4757,13,20,60,Low,NA
4758,13,15,5,NA,NA
4759,13,15,20,NA,NA
4760,13,16,NA,Low,NA
4761,22,12,16,Low,10.2
4762,22,13,24,Low,21.3
4763,22,14,12,Low,NA
4764,22,15,16,Low,NA
4765,22,15,19,Low,NA
4766,22,15,2,Low,NA
4767,22,16,25,Low,NA
4768,22,17,4,Low,NA
4769,22,16,10,Low,NA
4770,22,17,20,Low,NA
4771,22,16,21,Low,5.4
4772,22,16,25,Low,8.9
4773,22,17,10,Moderate,NA
4774,22,16,15,Low,NA
4775,22,16,12,Low,NA
4776,22,17,NA,Low,NA
4777,20,16,12,Low,NA
4778,20,17,10,Moderate,NA
4779,20,16,NA,Low,NA
4780,20,16,NA,Low,NA
4781,13,15,14,Low,1.17
4782,13,17,83,Low,1.17
4783,13,14,50,Low,NA
4784,13,15,6,Low,NA
4785,13,15,35,Low,NA
4786,13,16,12,Low,NA
4787,13,17,41,Low,NA
4788,13,NA,NA,None,NA
4789,13,12,50,Low,NA
4790,13,11,20,Low,NA
4791,11,18,17,Low,NA
4792,11,18,19,Low,NA
4793,56,22,NA,Moderate,NA
4794,56,22,12,Moderate,NA
4795,56,23,56,Moderate,NA
4796,56,24,27,Moderate,NA
4797,56,18,11,Moderate,NA
4798,56,18,17,Moderate,NA
4799,56,18,NA,High,NA
4800,15,16,3,NA,4.64
4801,15,18,26,NA,1.37
4802,15,21,50,Low,NA
4803,15,21,NA,Low,NA
4804,15,22,NA,Low,NA
4805,15,22,NA,High,NA
4806,15,23,25,Low,NA
4807,15,22,3,NA,NA
4808,15,22,16,NA,NA
4809,15,18,20,Low,NA
4810,8,22,9,Low,NA
4811,8,22,13,Low,NA
4812,8,20,NA,Low,NA
4813,8,21,NA,Low,5.58
4814,8,21,15,Low,2.07
4815,8,21,17,Low,NA
4816,8,21,6,Low,NA
4817,8,22,55,Low,NA
4818,8,22,17,Low,NA
4819,8,26,30,Low,NA
4820,8,21,5,Low,NA
4821,8,21,10,Low,NA
4822,8,20,NA,Moderate,NA
4823,28,NA,NA,None,NA
4824,28,19,111,High,42.15
4825,28,NA,NA,None,NA
4826,28,NA,NA,None,NA
4827,28,NA,NA,None,NA
4828,28,NA,NA,None,NA
4829,28,22,12,High,NA
4830,28,19,6,High,NA
4831,28,19,3,High,NA
4832,28,17,NA,High,NA
4833,4,16,14,Low,2.88
4834,4,17,26,Low,2.01
4835,4,22,33,Low,NA
4836,4,23,4,Low,NA
4837,4,22,28,Low,NA
4838,4,22,16,Low,NA
4839,4,24,22,Low,NA
4840,4,8,4,Low,NA
4841,4,6,18,Low,NA
4842,4,10,19,Low,NA
4843,13,18,4,Low,1.75
4844,13,18,21,Low,8.7
4845,13,22,5,Low,NA
4846,13,22,21,Low,NA
4847,13,22,14,Low,NA
4848,13,22,34,Low,NA
4849,13,22,2,Low,NA
4850,13,10,11,Low,NA
4851,13,10,17,Low,NA
4852,13,13,30,Low,NA
4853,9,15,29,Low,5.06
4854,9,16,12,Moderate,2.03
4855,9,21,15,Moderate,NA
4856,9,NA,NA,None,NA
4857,NA,14,120,Low,6.58
4858,NA,14,120,Low,1.44
4859,NA,17,42,Low,NA
4860,NA,17,14,Low,NA
4861,NA,17,77,Low,NA
4862,NA,17,5,Low,NA
4863,5,17,51,Low,NA
4864,5,16,51,Low,NA
4865,5,16,29,Low,NA
4866,5,17,24,Moderate,NA
4867,8,16,6,Low,1.65
4868,8,16,4,Low,0.89
4869,8,18,NA,Low,NA
4870,8,17,2,Low,NA
4871,8,17,8,Low,NA
4872,8,17,13,Low,NA
4873,8,18,10,Low,NA
4874,8,12,6,Low,NA
4875,8,12,3,Low,NA
4876,8,14,50,Low,NA
4877,9,15,NA,Low,2.86
4878,9,16,21,Low,1.29
4879,9,14,NA,Low,NA
4880,9,14,NA,Low,NA
4881,9,15,10,Low,NA
4882,9,15,5,Low,NA
4883,9,14,37,Low,NA
4884,9,11,4,Low,NA
4885,9,11,4,Low,NA
4886,9,13,20,Moderate,NA
4887,26,17,40,Low,1.65
4888,26,17,9,Low,2.23
4889,26,13,30,Low,NA
4890,26,14,NA,Low,NA
4891,26,14,5,Low,NA
4892,26,14,50,Low,NA
4893,26,14,17,Low,NA
4894,26,11,2,Low,NA
4895,26,12,NA,Low,NA
4896,26,9,NA,Low,NA
4897,33,16,23,Low,15.8
4898,33,17,11,Low,4.6
4899,33,17,12,Low,NA
4900,33,18,2,Low,NA
4901,33,18,21,Low,NA
4902,33,19,25,Low,NA
4903,33,19,31,Low,NA
4904,33,16,15,Low,NA
4905,33,16,20,Low,NA
4906,33,16,NA,Low,NA
4907,11,19,11,Low,2.11
4908,11,19,23,Low,1.68
4909,11,18,21,Low,NA
4910,11,18,NA,Low,NA
4911,11,19,37,Low,NA
4912,11,19,26,Low,NA
4913,11,20,49,Low,NA
4914,11,19,13,Low,NA
4915,11,17,32,Low,NA
4916,11,16,22,Low,NA
4917,8,20,32,Low,1.34
4918,8,21,64,Low,1.02
4919,8,18,30,Low,NA
4920,8,18,NA,Low,NA
4921,8,20,23,Low,NA
4922,8,20,NA,Low,NA
4923,8,25,7,Low,NA
4924,8,21,10,Low,NA
4925,8,20,20,Low,NA
4926,8,18,NA,Low,1.26
4927,7,18,1,Low,5.09
4928,7,19,42,Low,2.49
4929,7,21,42,Low,NA
4930,7,22,16,Low,NA
4931,7,21,22,Low,NA
4932,7,23,36,Low,NA
4933,7,25,21,Low,NA
4934,7,18,6,Low,NA
4935,7,18,14,Low,NA
4936,7,19,3,Low,NA
4937,15,16,18,Low,5.89
4938,15,17,311,Low,9.54
4939,15,15,30,Low,NA
4940,15,17,8,Low,NA
4941,15,17,66,Low,NA
4942,15,18,29,Low,NA
4943,15,25,7,Low,NA
4944,15,10,3,Low,NA
4945,15,10,5,Low,NA
4946,15,17,25,Low,NA
4947,26,15,16,Low,5.01
4948,26,16,10,Low,3.12
4949,26,17,11,Low,NA
4950,26,18,NA,Low,NA
4951,26,20,36,Low,NA
4952,26,21,51,Low,NA
4953,28,22,25,Low,NA
4954,28,9,6,Low,NA
4955,28,8,10,Low,NA
4956,28,16,6,Low,NA
4957,9,20,20,High,NA
4958,9,20,20,Low,NA
4959,9,19,30,Low,NA
4960,9,10,NA,High,NA
4961,9,10,10,High,NA
4962,9,NA,NA,None,NA
4963,15,16,39,Moderate,3.14
4964,15,17,7,Moderate,2.13
4965,15,19,5,High,NA
4966,15,20,NA,High,NA
4967,15,20,20,Moderate,NA
4968,15,21,NA,Moderate,NA
4969,15,20,30,Moderate,NA
4970,15,15,13,Moderate,NA
4971,15,15,5,Moderate,NA
4972,15,16,17,Low,NA
4973,9,14,37,Low,0.88
4974,9,16,104,Low,1.9
4975,9,16,55,Low,NA
4976,9,16,NA,Low,NA
4977,9,17,9,Low,NA
4978,9,17,11,Low,NA
4979,9,18,11,Low,NA
4980,9,15,79,Low,NA
4981,9,15,32,Low,NA
4982,9,13,NA,Low,NA
4983,10,17,39,Moderate,2.81
4984,10,17,38,Low,2.3
4985,10,19,20,Moderate,NA
4986,10,20,6,Moderate,NA
4987,10,20,57,Moderate,NA
4988,10,21,32,Moderate,NA
4989,10,21,12,Moderate,NA
4990,10,19,72,Low,NA
4991,10,19,49,High,NA
4992,10,16,NA,Moderate,NA
4993,13,19,30,Low,6.28
4994,13,19,47,Low,2.14
4995,13,19,103,Moderate,NA
4996,13,20,NA,Low,NA
4997,13,20,231,Low,NA
4998,13,20,8,Low,NA
4999,13,21,142,NA,NA
5000,13,17,131,Low,NA
5001,13,17,48,Low,NA
5002,13,20,12,Low,NA
5003,8,15,30,Low,8.57
5004,8,15,22,Low,6.4
5005,8,14,4,Low,NA
5006,8,15,5,Low,NA
5007,8,16,7,Low,NA
5008,8,16,100,Low,NA
5009,8,16,3,Low,NA
5010,8,13,5,Low,NA
5011,8,13,1,Low,NA
5012,8,15,47,Low,NA
5013,15,16,NA,Low,19.1
5014,15,17,46,Low,11.8
5015,15,16,12,Moderate,NA
5016,15,16,2,High,NA
5017,15,16,20,Moderate,NA
5018,15,16,36,Moderate,NA
5019,15,17,33,Low,NA
5020,15,13,NA,Low,NA
5021,15,13,10,Low,NA
5022,15,12,NA,Low,NA
5023,5,14,NA,Low,11.2
5024,5,15,9,Low,2.08
5025,5,14,6,Low,NA
5026,5,15,NA,Low,NA
5027,5,15,20,Low,NA
5028,5,16,11,Low,NA
5029,5,16,41,Low,NA
5030,5,14,10,Low,NA
5031,5,14,24,Low,NA
5032,5,13,35,Low,NA
5033,18,20,NA,Moderate,6.95
5034,18,22,14,Moderate,6.95
5035,18,18,6,Moderate,NA
5036,18,18,6,Moderate,NA
5037,18,19,55,Moderate,NA
5038,18,19,34,Moderate,NA
5039,18,20,40,Moderate,NA
5040,18,19,3,High,NA
5041,18,19,19,High,NA
5042,18,17,15,High,NA
5043,15,14,41,Low,NA
5044,15,14,26,Low,NA
5045,15,14,20,Low,NA
5046,15,14,5,Low,NA
5047,15,15,52,Low,NA
5048,15,15,17,Low,NA
5049,15,16,61,Low,NA
5050,15,15,7,Low,NA
5051,15,15,31,Low,NA
5052,15,16,NA,Low,NA
5053,30,20,9,Low,3.01
5054,30,21,37,Low,1.84
5055,30,19,8,Moderate,NA
5056,30,20,21,Moderate,NA
5057,30,20,32,Moderate,NA
5058,30,21,41,Moderate,NA
5059,30,15,18,Moderate,NA
5060,30,18,27,Low,NA
5061,30,18,51,Low,NA
5062,30,14,20,Moderate,NA
5063,21,18,24,Low,3.21
5064,21,19,56,Low,5.46
5065,21,18,14,Low,NA
5066,21,16,16,Low,NA
5067,21,19,3,Low,NA
5068,21,17,6,Moderate,NA
5069,12,18,21,Moderate,NA
5070,12,19,3,Moderate,NA
5071,12,19,41,Moderate,NA
5072,12,20,NA,High,NA
5073,17,20,6,Low,5.89
5074,17,20,6,Low,8.96
5075,17,21,25,Low,NA
5076,17,23,8,Low,NA
5077,17,20,44,Low,NA
5078,17,19,17,Low,NA
5079,17,21,21,Low,NA
5080,17,19,5,Low,NA
5081,17,19,6,Low,NA
5082,17,169,100,Low,NA
5083,8,18,3,Low,4.19
5084,8,19,26,Low,3.95
5085,8,22,41,Low,NA
5086,8,22,25,Low,NA
5087,8,22,19,Low,NA
5088,8,22,7,Low,NA
5089,8,22,NA,Low,NA
5090,13,14,3,Low,3.28
5091,13,16,21,Low,6.21
5092,13,15,NA,Low,NA
5093,13,19,2,Low,NA
5094,13,19,25,Low,NA
5095,13,18,6,Low,NA
5096,13,22,32,Low,NA
5097,13,9,31,Low,NA
5098,13,9,3,Low,NA
5099,13,13,20,Low,NA
5100,15,15,3,Low,4.28
5101,15,17,56,Low,2.13
5102,15,13,18,Low,NA
5103,15,14,12,Low,NA
5104,15,14,14,Low,NA
5105,15,15,32,Low,NA
5106,15,20,8,Low,NA
5107,15,17,10,Low,NA
5108,15,17,3,Low,NA
5109,15,16,5,Low,NA
5110,9,19,6,Low,2.3
5111,9,22,12,Low,1.92
5112,9,14,23,Low,NA
5113,9,16,14,Low,NA
5114,9,16,44,Low,NA
5115,9,16,3,Low,NA
5116,9,18,8,Low,NA
5117,9,19,10,Low,NA
5118,9,19,NA,Low,NA
5119,9,18,3,Low,NA
5120,8,19,31,Low,NA
5121,8,19,34,Low,NA
5122,8,16,16,Low,NA
5123,8,18,4,Low,NA
5124,8,18,32,Low,NA
5125,8,19,21,Low,NA
5126,8,20,21,Low,NA
5127,8,16,8,Moderate,NA
5128,8,16,12,Moderate,NA
5129,8,18,7,Moderate,NA
5130,9,9,1,Low,4.4
5131,9,9,3,Low,6.63
5132,9,9,4,NA,NA
5133,9,9,5,NA,NA
5134,9,9,33,NA,NA
5135,9,9,76,NA,NA
5136,9,10,55,NA,NA
5137,9,8,3,NA,NA
5138,9,8,17,NA,NA
5139,9,10,15,Low,NA
5140,5,10,3,Low,1.22
5141,5,13,4,Low,1.5
5142,5,13,8,Low,NA
5143,5,13,3,Low,NA
5144,5,16,50,Low,NA
5145,5,14,55,Low,NA
5146,10,16,50,Low,NA
5147,10,14,NA,Low,NA
5148,10,14,10,Low,NA
5149,10,12,80,Low,NA
5150,3,13,2,Low,1.84
5151,3,13,12,Low,1.06
5152,3,13,24,NA,NA
5153,3,14,NA,NA,NA
5154,3,14,126,NA,NA
5155,3,15,13,NA,NA
5156,5,15,56,NA,NA
5157,5,15,5,Low,NA
5158,5,15,21,Low,NA
5159,5,16,58,Low,NA
5160,NA,17,10,Low,12.8
5161,NA,18,21,Low,12.1
5162,NA,21,6,Low,NA
5163,NA,20,NA,Low,NA
5164,NA,21,61,Low,NA
5165,NA,21,18,Low,NA
5166,7,22,88,Low,NA
5167,7,NA,NA,None,NA
5168,7,NA,NA,None,NA
5169,7,NA,NA,None,NA
5170,9,18,11,Low,3.65
5171,9,18,11,Low,5.23
5172,9,23,29,Low,NA
5173,9,24,21,Low,NA
5174,9,24,227,Low,NA
5175,9,24,NA,Low,NA
5176,9,NA,NA,Low,NA
5177,9,NA,NA,Low,NA
5178,9,NA,NA,Low,NA
5179,9,NA,NA,Low,NA
5180,7,NA,NA,None,NA
5181,7,18,NA,Low,5.26
5182,7,18,12,Low,NA
5183,7,18,NA,Low,NA
5184,7,19,NA,Low,NA
5185,7,20,24,Low,NA
5186,7,22,28,Low,NA
5187,7,20,NA,Low,NA
5188,7,20,2,Low,NA
5189,7,17,4,Low,NA
5190,25,15,19,High,6.89
5191,25,15,11,Moderate,4.55
5192,25,13,19,Low,NA
5193,25,15,2,Moderate,NA
5194,25,16,40,Moderate,NA
5195,25,16,45,Low,NA
5196,NA,17,45,Low,NA
5197,NA,20,NA,Moderate,NA
5198,NA,20,NA,Moderate,NA
5199,NA,18,9,Moderate,NA
5200,NA,19,11,Low,2.89
5201,NA,19,39,Low,1.27
5202,NA,17,36,Low,NA
5203,NA,18,11,Low,NA
5204,NA,18,18,Low,NA
5205,NA,20,2,Low,NA
5206,NA,21,22,Low,NA
5207,NA,18,7,Low,NA
5208,NA,18,24,Low,NA
5209,NA,16,18,Low,NA
5210,4,18,14,Low,1.19
5211,4,19,11,Low,1.47
5212,4,16,25,Low,NA
5213,4,16,3,Low,NA
5214,4,18,30,Low,NA
5215,4,17,NA,Low,NA
5216,4,19,50,Low,NA
5217,4,19,7,Low,NA
5218,4,12,NA,Low,NA
5219,4,15,NA,Low,NA
5220,11,20,8,Low,NA
5221,11,19,21,Low,NA
5222,11,17,38,High,NA
5223,11,18,12,High,NA
5224,11,18,52,Moderate,NA
5225,11,18,44,Low,NA
5226,11,21,29,Low,NA
5227,11,18,NA,Low,NA
5228,11,18,3,Low,NA
5229,11,18,12,Moderate,NA
5230,15,19,12,Low,5.64
5231,15,15,3,Low,8.52
5232,15,19,23,Moderate,NA
5233,15,15,21,Low,NA
5234,15,16,NA,Low,NA
5235,15,16,36,Low,NA
5236,15,18,45,Low,NA
5237,15,19,4,Moderate,NA
5238,15,20,54,Low,NA
5239,15,15,12,Low,NA
5240,9,10,1,Low,3.35
5241,9,14,4,NA,NA
5242,9,10,13,NA,NA
5243,9,10,1,Low,NA
5244,9,10,15,NA,NA
5245,9,10,53,NA,NA
5246,9,10,55,NA,NA
5247,9,11,NA,Moderate,NA
5248,9,11,NA,Moderate,NA
5249,9,12,NA,Low,9.05
5250,35,6,NA,Low,0.69
5251,35,6,9,Low,0.89
5252,35,8,NA,Moderate,NA
5253,35,9,NA,Moderate,NA
5254,35,9,10,Low,NA
5255,35,8,39,Moderate,NA
5256,35,8,12,Low,NA
5257,35,8,4,Moderate,NA
5258,35,8,9,Moderate,NA
5259,35,6,9,Low,NA
5260,35,9,13,Low,19.4
5261,35,9,21,Low,16.5
5262,35,10,39,NA,NA
5263,35,11,1,NA,NA
5264,35,11,23,NA,NA
5265,35,12,7,NA,NA
5266,35,12,47,NA,NA
5267,35,10,3,Low,NA
5268,35,10,15,Low,NA
5269,35,12,15,NA,NA
5270,10,9,15,Moderate,7.33
5271,10,8,NA,Moderate,7.03
5272,10,11,7,Low,NA
5273,10,10,NA,Low,NA
5274,10,10,11,Low,NA
5275,10,10,21,Low,NA
5276,10,10,36,Low,NA
5277,10,9,8,Low,NA
5278,10,9,37,Low,NA
5279,10,9,5,Low,NA
5280,8,9,3,Low,5.15
5281,8,9,16,Low,1.9
5282,8,6,2,NA,NA
5283,8,6,3,NA,NA
5284,8,8,34,NA,NA
5285,8,9,4,NA,NA
5286,8,11,51,NA,NA
5287,8,10,NA,Low,NA
5288,8,10,5,Low,NA
5289,8,11,37,Low,NA
5290,5,9,1,High,6.38
5291,5,9,3,High,12.1
5292,5,7,12,Low,NA
5293,5,8,NA,Moderate,NA
5294,5,9,35,Moderate,NA
5295,5,9,40,Low,NA
5296,5,10,32,Low,NA
5297,5,10,NA,Moderate,NA
5298,5,10,25,Moderate,NA
5299,5,9,NA,High,NA
5300,12,13,NA,Low,3.05
5301,12,13,10,Low,1.69
5302,12,11,14,Low,NA
5303,12,11,NA,Low,NA
5304,12,11,3,Low,NA
5305,19,18,NA,Low,5.65
5306,19,17,NA,Low,5.21
5307,19,16,NA,Low,NA
5308,19,18,NA,Low,NA
5309,19,19,23,Moderate,NA
5310,19,18,3,Moderate,NA
5311,16,19,21,Low,NA
5312,16,19,23,Low,NA
5313,16,15,2,Low,NA
5314,16,15,NA,Low,NA
5315,NA,8,NA,Low,0.6
5316,NA,8,2,Low,0.77
5317,NA,6,NA,NA,NA
5318,NA,8,2,NA,NA
5319,NA,8,42,NA,NA
5320,NA,8,36,NA,NA
5321,NA,10,46,NA,NA
5322,NA,8,2,Low,NA
5323,NA,8,9,Low,NA
5324,NA,8,30,Low,NA
5325,15,8,28,Low,0.74
5326,15,8,2,Moderate,0.75
5327,15,8,3,Low,NA
5328,15,8,9,Low,NA
5329,15,9,4,Low,NA
5330,15,9,NA,Low,NA
5331,15,9,22,Low,NA
5332,15,7,5,Low,NA
5333,15,7,13,Low,NA
5334,15,9,7,Low,NA
5335,5,11,NA,Moderate,3.93
5336,5,11,3,Low,3.75
5337,5,11,NA,Moderate,NA
5338,5,10,NA,Moderate,NA
5339,5,11,27,Moderate,NA
5340,5,11,NA,Moderate,NA
5341,22,13,62,Moderate,NA
5342,22,10,20,Low,NA
5343,22,10,5,Low,NA
5344,22,8,19,Low,NA
5345,12,11,24,Low,NA
5346,15,12,14,Low,NA
5347,15,13,65,Low,NA
5348,15,10,19,Low,NA
5349,15,13,65,Low,NA
